Threads	Trials	Probability	MegaTrialsPerSecond
1	1024	  0.1436	  9.6177
Threads	Trials	Probability	MegaTrialsPerSecond
2	1024	  0.1436	 18.5275
Threads	Trials	Probability	MegaTrialsPerSecond
4	1024	  0.1436	 32.8583
Threads	Trials	Probability	MegaTrialsPerSecond
8	1024	  0.1230	 54.8974
Threads	Trials	Probability	MegaTrialsPerSecond
16	1024	  0.1230	 57.1747
Threads	Trials	Probability	MegaTrialsPerSecond
1	2048	  0.1245	 19.4542
Threads	Trials	Probability	MegaTrialsPerSecond
2	2048	  0.1245	 19.9052
Threads	Trials	Probability	MegaTrialsPerSecond
4	2048	  0.1245	 37.3293
Threads	Trials	Probability	MegaTrialsPerSecond
8	2048	  0.1309	 68.5802
Threads	Trials	Probability	MegaTrialsPerSecond
16	2048	  0.1309	 77.6457
Threads	Trials	Probability	MegaTrialsPerSecond
1	4096	  0.1270	 19.3561
Threads	Trials	Probability	MegaTrialsPerSecond
2	4096	  0.1270	 19.8184
Threads	Trials	Probability	MegaTrialsPerSecond
4	4096	  0.1270	 38.1548
Threads	Trials	Probability	MegaTrialsPerSecond
8	4096	  0.1270	 74.1545
Threads	Trials	Probability	MegaTrialsPerSecond
16	4096	  0.1270	 90.5353
Threads	Trials	Probability	MegaTrialsPerSecond
1	8192	  0.1284	  9.9746
Threads	Trials	Probability	MegaTrialsPerSecond
2	8192	  0.1274	 19.7278
Threads	Trials	Probability	MegaTrialsPerSecond
4	8192	  0.1274	 26.8455
Threads	Trials	Probability	MegaTrialsPerSecond
8	8192	  0.1274	 75.4342
Threads	Trials	Probability	MegaTrialsPerSecond
16	8192	  0.1274	 94.1869
Threads	Trials	Probability	MegaTrialsPerSecond
1	16384	  0.1298	  9.9255
Threads	Trials	Probability	MegaTrialsPerSecond
2	16384	  0.1292	 19.6991
Threads	Trials	Probability	MegaTrialsPerSecond
4	16384	  0.1292	 39.1213
Threads	Trials	Probability	MegaTrialsPerSecond
8	16384	  0.1292	 76.9336
Threads	Trials	Probability	MegaTrialsPerSecond
16	16384	  0.1292	173.2491
Threads	Trials	Probability	MegaTrialsPerSecond
1	32768	  0.1293	 18.7415
Threads	Trials	Probability	MegaTrialsPerSecond
2	32768	  0.1293	 36.7620
Threads	Trials	Probability	MegaTrialsPerSecond
4	32768	  0.1293	 72.0838
Threads	Trials	Probability	MegaTrialsPerSecond
8	32768	  0.1293	142.3891
Threads	Trials	Probability	MegaTrialsPerSecond
16	32768	  0.1313	142.6854
Threads	Trials	Probability	MegaTrialsPerSecond
1	65536	  0.1306	 18.5083
Threads	Trials	Probability	MegaTrialsPerSecond
2	65536	  0.1306	 36.3133
Threads	Trials	Probability	MegaTrialsPerSecond
4	65536	  0.1306	 71.2000
Threads	Trials	Probability	MegaTrialsPerSecond
8	65536	  0.1306	118.8297
Threads	Trials	Probability	MegaTrialsPerSecond
16	65536	  0.1306	182.3945
Threads	Trials	Probability	MegaTrialsPerSecond
1	131072	  0.1313	 18.3420
Threads	Trials	Probability	MegaTrialsPerSecond
2	131072	  0.1320	 35.9397
Threads	Trials	Probability	MegaTrialsPerSecond
4	131072	  0.1320	 38.7919
Threads	Trials	Probability	MegaTrialsPerSecond
8	131072	  0.1320	 78.2739
Threads	Trials	Probability	MegaTrialsPerSecond
16	131072	  0.1320	 99.1635
Threads	Trials	Probability	MegaTrialsPerSecond
1	262144	  0.1311	  9.8573
Threads	Trials	Probability	MegaTrialsPerSecond
2	262144	  0.1307	 19.5930
Threads	Trials	Probability	MegaTrialsPerSecond
4	262144	  0.1307	 39.0420
Threads	Trials	Probability	MegaTrialsPerSecond
8	262144	  0.1307	 76.6780
Threads	Trials	Probability	MegaTrialsPerSecond
16	262144	  0.1307	103.3287
Threads	Trials	Probability	MegaTrialsPerSecond
1	524288	  0.1309	 18.6671
Threads	Trials	Probability	MegaTrialsPerSecond
2	524288	  0.1309	 19.7737
Threads	Trials	Probability	MegaTrialsPerSecond
4	524288	  0.1308	 39.2912
Threads	Trials	Probability	MegaTrialsPerSecond
8	524288	  0.1308	 77.8607
Threads	Trials	Probability	MegaTrialsPerSecond
16	524288	  0.1308	103.7159
Threads	Trials	Probability	MegaTrialsPerSecond
1	1048576	  0.1310	 18.5222
Threads	Trials	Probability	MegaTrialsPerSecond
2	1048576	  0.1310	 37.1794
Threads	Trials	Probability	MegaTrialsPerSecond
4	1048576	  0.1310	 38.8351
Threads	Trials	Probability	MegaTrialsPerSecond
8	1048576	  0.1305	 78.3553
Threads	Trials	Probability	MegaTrialsPerSecond
16	1048576	  0.1305	104.8676
