Threads, Size, SIMD, Standard, SIMD+T, Standard+T
1, 1024, 348.66, 211.18, 6.57, 174.68
1, 2048, 452.89, 223.49, 12.88, 394.51
1, 4096, 529.89, 222.74, 26.13, 508.89
1, 8192, 580.29, 224.71, 54.32, 596.49
1, 16384, 605.20, 225.64, 110.77, 744.15
1, 32768, 625.51, 225.82, 211.25, 825.72
1, 65536, 632.64, 225.63, 369.60, 864.09
1, 131072, 617.91, 225.66, 473.76, 829.15
1, 262144, 636.41, 224.08, 660.82, 889.36
1, 524288, 605.52, 222.37, 994.32, 895.21
1, 1048576, 575.49, 220.12, 1234.79, 849.44
1, 2097152, 575.02, 217.72, 1312.01, 845.15
1, 4194304, 493.53, 215.77, 1436.13, 838.07
1, 8388608, 571.56, 218.98, 1630.67, 857.39
2, 1024, 329.15, 215.72, 6.21, 256.15
2, 2048, 437.79, 221.84, 15.30, 382.94
2, 4096, 522.12, 223.92, 28.36, 538.25
2, 8192, 582.89, 225.53, 43.14, 643.72
2, 16384, 609.69, 225.69, 98.85, 739.77
2, 32768, 624.87, 225.48, 226.90, 806.38
2, 65536, 632.55, 225.49, 285.63, 859.64
2, 131072, 617.33, 225.65, 495.68, 874.25
2, 262144, 631.01, 223.44, 699.19, 890.05
2, 524288, 604.30, 218.56, 989.36, 880.60
2, 1048576, 556.14, 212.83, 1346.93, 846.56
2, 2097152, 550.46, 214.60, 1477.76, 865.59
2, 4194304, 512.49, 211.95, 1396.11, 854.94
2, 8388608, 500.50, 214.96, 1453.07, 742.17
3, 1024, 352.35, 221.94, 7.48, 232.87
3, 2048, 458.56, 223.92, 13.47, 253.65
3, 4096, 530.72, 223.52, 25.22, 438.69
3, 8192, 582.02, 225.46, 45.97, 643.93
3, 16384, 610.20, 225.71, 85.65, 760.17
3, 32768, 528.65, 225.37, 170.81, 754.12
3, 65536, 632.62, 225.66, 319.17, 858.00
3, 131072, 635.06, 222.71, 574.64, 880.41
3, 262144, 590.57, 224.64, 770.15, 773.84
3, 524288, 589.80, 219.95, 931.55, 877.94
3, 1048576, 564.02, 218.62, 1296.18, 881.45
3, 2097152, 585.53, 218.86, 1369.76, 865.30
3, 4194304, 587.10, 219.23, 1612.65, 853.96
3, 8388608, 583.64, 218.87, 1326.73, 848.42
4, 1024, 339.30, 219.46, 6.02, 224.76
4, 2048, 459.90, 223.52, 11.12, 239.53
4, 4096, 535.24, 224.45, 19.99, 475.67
4, 8192, 583.26, 225.57, 55.97, 654.52
4, 16384, 611.07, 225.60, 109.77, 781.34
4, 32768, 623.05, 225.70, 190.57, 834.39
4, 65536, 633.58, 225.56, 311.96, 855.25
4, 131072, 636.16, 222.90, 511.33, 873.32
4, 262144, 561.21, 222.89, 773.26, 889.53
4, 524288, 598.68, 221.35, 1145.75, 880.50
4, 1048576, 585.40, 218.86, 1216.33, 858.82
4, 2097152, 528.17, 216.79, 1445.68, 837.10
4, 4194304, 554.58, 219.34, 1589.05, 844.29
4, 8388608, 488.41, 213.38, 1595.59, 843.01
